Sl #,PharmaShare Code,Trade Name,Form,Pack Size,Pharmacy Price (AED),Public Price (AED),Active Ingredient,Strength,Manufacturer,Offered Price or Bonus,Minimum order Value or Quantity,Available Quantity in Packs,Store Remarks
9304,PS00009304,ZESTRIL 5mg,Tablets,28's Blister (Calendar Pack),24.06,29.50,Lisinopril (as dihydrate),5mg/Tablet,ASTRAZENECA UK LIMITED,120,80,,
9305,PS00009305,ZETA 2%,Cream,15g Tube,8.74,10.50,Fusidic acid,20mg/g,TABUK PHARMACEUTICAL MANUFACTURING CO.,130,85,,
9306,PS00009306,ZETA 2%,Ointment,15g Tube,8.74,10.50,Fusidic acid,20mg/g,TABUK PHARMACEUTICAL MANUFACTURING CO.,131,90,,
9307,PS00009307,ZETA-CORT,Cream,15g Collapsible Tube,7.68,9.50,"Betamethason (as valerate), Fusidic acid","1mg, 20mg/g",TABUK PHARMACEUTICAL MANUFACTURING CO.,132,95,,
9308,PS00009308,ZETOP 10mg Ө,Tablets/Film-coated,10's Blister,12.66,15.50,Cetirizine HCl,10mg/Tablet,CADILA PHARMACEUTICALS LIMITED,133,100,,
9309,PS00009309,ZETRON 200mg/5ml,Suspension/Powder for,15ml Plastic Bottle + 9ml Water (Plastic Ampoule) + 10ml Plastic Oral Syringe,11.90,14.50,Azithromycin (as dihydrate),200mg/5ml,TABUK PHARMACEUTICAL MANUFACTURING CO.,134,105,,
9310,PS00009310,ZETRON 250mg,Capsules (Hard Gelatin),6's Blister,29.54,36.50,Azithromycin (as dihydrate),250mg/Capsule,TABUK PHARMACEUTICAL MANUFACTURING CO.,135,110,,
9311,PS00009311,ZETRON 300mg/7.5ml,Suspension/Powder for,22.5ml Plastic Bottle + 12ml Water (Plastic Ampoule) + 10ml Plastic Oral Syringe,17.81,22.00,Azithromycin (as dihydrate),200mg/5ml,TABUK PHARMACEUTICAL MANUFACTURING CO.,136,115,,
9312,PS00009312,ZFLOX 400,Tablets/Film-coated,10's Blister,83.81,104.00,Moxifloxacin (as HCl),400mg/Tablet,ZEINO PHARMA FZ LLC,137,120,,
9313,PS00009313,ZFLOX 400,Tablets/Film-coated,100's (10's Blister x 10),838.12,983.50,Moxifloxacin (as HCl),400mg/Tablet,ZEINO PHARMA FZ LLC,138,125,,
9314,PS00009314,ZIAGEN 20mg/ml,Solution (Oral),240ml Bottle,231.70,288.00,Abacavir (as sulfate),20mg/ml,GLAXO,139,130,,
9315,PS00009315,ZIAGEN 300mg,Tablets/Film-coated,60's (10's Blister x 6),1124.60,1320.00,Abacavir (as sulfate),300mg/Tablet,GLAXOSMITHKLINE PHARMACEUTICAL S.A.,140,135,,
9316,PS00009316,ZIDIME 1g IM/IV,Injection/Powder for,1 Vial (Dry),31.99,39.50,Ceftazidime anhydrous (as mixture with Sodium carbonate),1000mg/Vial,TABUK PHARMACEUTICAL MANUFACTURING CO.,141,140,,
